origin_topic_q1,origin_topic_q0,origin_topic_q2,words_q1,words_q0,words_q2
27,5,21,"oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer","cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol","immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism"
4,17,25,"tavis, kennedy, film, lincoln, character, art, audience, movies, song","baseball, nbc, league, giants, score, inning, hits, yards, animals","gingrich, rick, newt, iowa, santorum, perry, cain, hampshire, ron"
4,5,19,"tavis, kennedy, film, lincoln, character, art, audience, movies, song","cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol","melissa, tha, thh, tte, thi, dot, ing, ere, thee"
28,16,23,"boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","christmas, holiday, flu, thanksgiving, shopping, ice, holidays, stores, vaccine","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin"
28,17,18,"boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","baseball, nbc, league, giants, score, inning, hits, yards, animals","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa"
13,5,4,"voting, palin, sarah, liberal, voter, abortion, msnbc, mccain, hillary","cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol","tavis, kennedy, film, lincoln, character, art, audience, movies, song"
0,14,7,"abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung"
18,12,27,"jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa","syria, israel, egypt, russia, regime, syrian, opposition, assad, russian","oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer"
11,0,28,"gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection","abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines","boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion"
29,20,10,"jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical"
7,29,27,"gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer"
29,13,26,"jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","voting, palin, sarah, liberal, voter, abortion, msnbc, mccain, hillary","stocks, investors, fed, trading, earnings, apple, dow, tdd, shares"
16,7,7,"christmas, holiday, flu, thanksgiving, shopping, ice, holidays, stores, vaccine","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung"
12,13,23,"syria, israel, egypt, russia, regime, syrian, opposition, assad, russian","voting, palin, sarah, liberal, voter, abortion, msnbc, mccain, hillary","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin"
6,5,26,"guest, caller, teachers, climate, chinese, poverty, opportunities, century, african","cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol","stocks, investors, fed, trading, earnings, apple, dow, tdd, shares"
16,5,22,"christmas, holiday, flu, thanksgiving, shopping, ice, holidays, stores, vaccine","cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol","marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs"
27,4,27,"oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer","tavis, kennedy, film, lincoln, character, art, audience, movies, song","oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer"
18,9,14,"jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa","delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato"
16,27,18,"christmas, holiday, flu, thanksgiving, shopping, ice, holidays, stores, vaccine","oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa"
14,26,4,"nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato","stocks, investors, fed, trading, earnings, apple, dow, tdd, shares","tavis, kennedy, film, lincoln, character, art, audience, movies, song"
16,8,7,"christmas, holiday, flu, thanksgiving, shopping, ice, holidays, stores, vaccine","bowl, tiger, olympic, olympics, nfl, coach, golf, woods, gold","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung"
29,6,2,"jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","guest, caller, teachers, climate, chinese, poverty, opportunities, century, african","jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution"
8,29,14,"bowl, tiger, olympic, olympics, nfl, coach, golf, woods, gold","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato"
22,19,4,"marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","melissa, tha, thh, tte, thi, dot, ing, ere, thee","tavis, kennedy, film, lincoln, character, art, audience, movies, song"
22,10,7,"marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung"
18,5,22,"jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa","cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol","marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs"
16,23,29,"christmas, holiday, flu, thanksgiving, shopping, ice, holidays, stores, vaccine","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray"
25,22,2,"gingrich, rick, newt, iowa, santorum, perry, cain, hampshire, ron","marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution"
7,15,23,"gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin"
18,22,15,"jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa","marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions"
10,9,27,"hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast","oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer"
2,9,29,"jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution","delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray"
2,7,27,"jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung","oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer"
17,21,7,"baseball, nbc, league, giants, score, inning, hits, yards, animals","immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung"
25,21,20,"gingrich, rick, newt, iowa, santorum, perry, cain, hampshire, ron","immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords"
9,18,14,"delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato"
13,3,18,"voting, palin, sarah, liberal, voter, abortion, msnbc, mccain, hillary","gonna, que, kitchen, color, las, hoveround, para, chair, una","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa"
24,12,23,"obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart","syria, israel, egypt, russia, regime, syrian, opposition, assad, russian","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin"
18,13,18,"jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa","voting, palin, sarah, liberal, voter, abortion, msnbc, mccain, hillary","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa"
17,14,28,"baseball, nbc, league, giants, score, inning, hits, yards, animals","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato","boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion"
12,19,24,"syria, israel, egypt, russia, regime, syrian, opposition, assad, russian","melissa, tha, thh, tte, thi, dot, ing, ere, thee","obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart"
10,8,9,"hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","bowl, tiger, olympic, olympics, nfl, coach, golf, woods, gold","delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast"
22,23,17,"marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin","baseball, nbc, league, giants, score, inning, hits, yards, animals"
25,14,5,"gingrich, rick, newt, iowa, santorum, perry, cain, hampshire, ron","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato","cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol"
13,2,2,"voting, palin, sarah, liberal, voter, abortion, msnbc, mccain, hillary","jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution","jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution"
21,28,20,"immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords"
24,10,28,"obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion"
25,22,12,"gingrich, rick, newt, iowa, santorum, perry, cain, hampshire, ron","marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","syria, israel, egypt, russia, regime, syrian, opposition, assad, russian"
25,24,9,"gingrich, rick, newt, iowa, santorum, perry, cain, hampshire, ron","obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart","delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast"
21,4,4,"immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","tavis, kennedy, film, lincoln, character, art, audience, movies, song","tavis, kennedy, film, lincoln, character, art, audience, movies, song"
26,6,3,"stocks, investors, fed, trading, earnings, apple, dow, tdd, shares","guest, caller, teachers, climate, chinese, poverty, opportunities, century, african","gonna, que, kitchen, color, las, hoveround, para, chair, una"
28,10,7,"boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung"
22,12,28,"marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","syria, israel, egypt, russia, regime, syrian, opposition, assad, russian","boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion"
19,29,29,"melissa, tha, thh, tte, thi, dot, ing, ere, thee","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray"
13,16,17,"voting, palin, sarah, liberal, voter, abortion, msnbc, mccain, hillary","christmas, holiday, flu, thanksgiving, shopping, ice, holidays, stores, vaccine","baseball, nbc, league, giants, score, inning, hits, yards, animals"
27,29,19,"oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","melissa, tha, thh, tte, thi, dot, ing, ere, thee"
28,11,11,"boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection","gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection"
26,9,8,"stocks, investors, fed, trading, earnings, apple, dow, tdd, shares","delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast","bowl, tiger, olympic, olympics, nfl, coach, golf, woods, gold"
1,0,11,"baltimore, beltway, metro, cloudy, avenue, storms, temperature, skies, loop","abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines","gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection"
27,2,18,"oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer","jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa"
